"text","inputModeHint","isForAnotherPersonHint","actionType","postNature","targetAudience","postInputMode","locationSharingMode","dangerLevel","helpType","requesterProfile","helpInputMode","presetMessageKey","needsAudioGuidance","needsVisualSupport","needsPhysicalAssistance","needsSimpleLanguage","isForAnotherPerson"
"rampe cassee devant mairie svp","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"info utile centre accesib pr tous","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","true","false"
"conseil traversez au feu vert seulement","keyboard","false","create_post","conseil","all","keyboard","none","low","none","none","none","none","false","false","false","true","false"
"temoignage bus 12 no access wheel chair","vibration","false","create_post","temoignage","motor","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte trou tres dangreux trottoire","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"je signale feu pieton sans son","voice","false","create_post","signalement","visual","voice","precise","medium","none","none","none","none","true","false","false","true","false"
"new info pharmacie accessible","keyboard","false","create_post","information","all","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour aidant accompagner malvoyant","deafBlind","false","create_post","conseil","caregiver","deafBlind","none","low","none","none","none","none","true","true","false","true","false"
"temoignage cafe inclusif top service","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte escalier glissant a l entree","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement ascenseur panne metro","keyboard","false","create_post","signalement","motor","keyboard","approximate","medium","none","none","none","none","false","false","true","true","false"
"information event accessible ce weekend","caregiver","true","create_post","information","caregiver","caregiver","none","none","none","none","none","none","false","false","false","true","true"
"conseil simple pour evacuer calmement","keyboard","false","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","false","true","false","true","false"
"temoignage signaletique audio tres aide","voice","false","create_post","temoignage","visual","voice","none","none","none","none","none","none","true","false","false","false","false"
"alert ya3ni danger fi station bus","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement trottoir bloque by moto","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"info: medecin place now accessible","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil keep left pour canne blanche","voice","false","create_post","conseil","visual","voice","none","low","none","none","none","none","true","false","false","true","false"
"temoignage guichet difficile pr sourd","deafBlind","false","create_post","temoignage","hearing","deafBlind","none","low","none","none","none","none","false","true","false","true","false"
"alerte agression pres arret bus","vibration","false","create_post","alerte","all","vibration","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement passage pieton efface","keyboard","false","create_post","signalement","all","keyboard","precise","low","none","none","none","none","false","false","false","true","false"
"information ascenseur repare hamdoulah","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour caregiver speak slowly","caregiver","true","create_post","conseil","caregiver","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"temoignage nice staff fi baladia","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte marche casse zone school","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement access denied fauteuil","vibration","false","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"information parking PMR dispo","keyboard","false","create_post","information","motor","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil phrase courte svp","keyboard","false","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","false","true","false","true","false"
"temoignage entree sans rampe hier","voice","false","create_post","temoignage","motor","voice","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte trottoir inonde tres risky","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement borne ticket trop haute","headEyes","false","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","false","false","true","true","false"
"info arabe translit: masar mzyan","keyboard","false","create_post","information","all","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour deaf user ecrire clair","caregiver","true","create_post","conseil","hearing","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"temoignage file attente longue mais ok","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte rail expose fi rue","vibration","false","create_post","alerte","all","vibration","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement manque panneau braille","deafBlind","false","create_post","signalement","visual","deafBlind","precise","medium","none","none","none","none","true","false","false","true","false"
"information free assistance point here","voice","false","create_post","information","caregiver","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil ne traversez pas seul la nuit","keyboard","false","create_post","conseil","all","keyboard","none","low","none","none","none","none","false","false","false","true","false"
"temoignage acces hall impossible now","voice","false","create_post","temoignage","motor","voice","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte zone noire no light","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement escalator stoped","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"information bus low-floor available","voice","false","create_post","information","motor","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil utiliser messages tres simples","keyboard","false","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","false","true","false","true","false"
"temoignage staff parle fort pour sourd","caregiver","true","create_post","temoignage","hearing","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"alerte chien agressif pres ecole","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement porte trop lourde","headEyes","false","create_post","signalement","motor","headEyes","approximate","medium","none","none","none","none","false","false","true","true","false"
"information cafe quiet pr autism","keyboard","false","create_post","information","cognitive","keyboard","approximate","none","none","none","none","none","false","true","false","true","false"
"conseil use tactile paving line","voice","false","create_post","conseil","visual","voice","none","low","none","none","none","none","true","false","false","true","false"
"temoignage route blocked fi souk","vibration","false","create_post","temoignage","all","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte smoke and panic near gate","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement station sans ascenseur","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"information passage audio active","voice","false","create_post","information","visual","voice","approximate","none","none","none","none","none","true","false","false","false","false"
"conseil talk slow and clear pls","caregiver","true","create_post","conseil","caregiver","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"temoignage queue courte today","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte missing manhole cover","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement obstacle random fi trottoir","vibration","false","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"info rapide acces ok maintenant","keyboard","false","create_post","information","all","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil: phrases courtes bdoun ta9id","voice","false","create_post","conseil","cognitive","voice","none","low","none","none","none","none","false","true","false","true","false"
"temoignage service top pour aidants","caregiver","true","create_post","temoignage","caregiver","caregiver","none","none","none","none","none","none","false","false","false","true","true"
"je suis bloque trottoir trop haut","text","false","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","false","false","true","true","false"
"perdu je trouve pas entree clinique","voice","false","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","true","false","false","true","false"
"need help communication at desk","caregiver","false","create_help_request","none","none","none","none","none","communication","hearing","caregiver","cannot_reach","false","true","false","true","false"
"urgence medicale douleur poitrine","voice","false","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","false","false","true","true","false"
"escort me to metro exit pls","haptic","false","create_help_request","none","none","none","none","none","escort","cognitive","haptic","escort","true","true","false","true","false"
"unsafe access entree principale","tap","false","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","false","false","true","true","false"
"for my father ma9darch ytl3","text","true","create_help_request","none","none","none","none","none","mobility","caregiver","text","cannot_reach","false","false","true","true","true"
"ma n9darsh nwasel l ascenseur","voice","false","create_help_request","none","none","none","none","none","mobility","motor","voice","cannot_reach","false","false","true","true","false"
"need vocal guidance to exit","text","false","create_help_request","none","none","none","none","none","orientation","visual","text","lost","true","false","false","true","false"
"my friend deaf needs support","caregiver","true","create_help_request","none","none","none","none","none","communication","caregiver","caregiver","cannot_reach","false","true","false","true","true"
"desoriente fi gare now","volume_shortcut","false","create_help_request","none","none","none","none","none","orientation","cognitive","volume_shortcut","lost","true","true","false","true","false"
"medical urgent post fall please","text","false","create_help_request","none","none","none","none","none","medical","unknown","text","medical_urgent","false","true","true","true","false"
"guide me to taxi stand","voice","false","create_help_request","none","none","none","none","none","escort","visual","voice","escort","true","false","false","true","false"
"danger stair no rail help","tap","false","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","false","false","true","true","false"
"cannot reach ticket machine","text","false","create_help_request","none","none","none","none","none","mobility","motor","text","cannot_reach","false","false","true","true","false"
"lost in mall khallini nkhroj","haptic","false","create_help_request","none","none","none","none","none","orientation","unknown","haptic","lost","true","true","false","true","false"
"communication help pour signer","voice","false","create_help_request","none","none","none","none","none","communication","hearing","voice","cannot_reach","false","true","false","true","false"
"urgent medecin maintenant","voice","false","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","false","false","true","true","false"
"escort older woman to bus","caregiver","true","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","false","false","true","true","true"
"unsafe sidewalk broken now","text","false","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","false","false","true","true","false"
"cant reach ramp entrance","tap","false","create_help_request","none","none","none","none","none","mobility","motor","tap","cannot_reach","false","false","true","true","false"
"orientation pls ana daye3","voice","false","create_help_request","none","none","none","none","none","orientation","unknown","voice","lost","true","true","false","true","false"
"need communication for admin paper","text","false","create_help_request","none","none","none","none","none","communication","cognitive","text","cannot_reach","false","true","false","true","false"
"medical issue sugar very low","haptic","false","create_help_request","none","none","none","none","none","medical","unknown","haptic","medical_urgent","false","false","true","true","false"
"escort to hospital gate","voice","false","create_help_request","none","none","none","none","none","escort","cognitive","voice","escort","true","false","false","true","false"
"unsafe_access dark tunnel","volume_shortcut","false","create_help_request","none","none","none","none","none","unsafe_access","unknown","volume_shortcut","blocked","false","true","false","true","false"
"mobility help wheelchair stuck","text","false","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","false","false","true","true","false"
"lost near station no signs","tap","false","create_help_request","none","none","none","none","none","orientation","visual","tap","lost","true","false","false","true","false"
"communication support for deaf aunt","caregiver","true","create_help_request","none","none","none","none","none","communication","caregiver","caregiver","cannot_reach","false","true","false","true","true"
"medical urgent chest pain now","text","false","create_help_request","none","none","none","none","none","medical","unknown","text","medical_urgent","false","false","true","true","false"
"escort please fi lil","haptic","false","create_help_request","none","none","none","none","none","escort","unknown","haptic","escort","true","false","false","true","false"
"unsafe ramp slippery rain","voice","false","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","false","false","true","true","false"
"mobility cannot pass crowd","volume_shortcut","false","create_help_request","none","none","none","none","none","mobility","motor","volume_shortcut","cannot_reach","false","false","true","true","false"
"orientation help short msg","lost","false","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","true","true","false","true","false"
"need com help guichet vite","tap","false","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","false","true","false","true","false"
"medical urgent fainting friend","caregiver","true","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","false","false","true","true","true"
"escort my mom to pharmacy","caregiver","true","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","true","false","true","true","true"
"unsafe access broken lift","text","false","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","false","false","true","true","false"
"mobility request no ramp here","voice","false","create_help_request","none","none","none","none","none","mobility","motor","voice","blocked","false","false","true","true","false"
"orientation barsha stress","haptic","false","create_help_request","none","none","none","none","none","orientation","cognitive","haptic","lost","true","true","false","true","false"
"communication with police needed","text","false","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","false","true","false","true","false"
"medical urgent blood sugar 40","voice","false","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","false","false","true","true","false"
"escort me to safe area now","tap","false","create_help_request","none","none","none","none","none","escort","unknown","tap","escort","true","false","false","true","false"
"unsafe crossing no lights","volume_shortcut","false","create_help_request","none","none","none","none","none","unsafe_access","unknown","volume_shortcut","blocked","false","true","false","true","false"
"mobility support for cousin","caregiver","true","create_help_request","none","none","none","none","none","mobility","caregiver","caregiver","cannot_reach","false","false","true","true","true"
"orientation quick help pls","text","false","create_help_request","none","none","none","none","none","orientation","visual","text","lost","true","false","false","true","false"
"communication issue cant explain meds","voice","false","create_help_request","none","none","none","none","none","communication","cognitive","voice","cannot_reach","false","true","false","true","false"
"medical emergency breathing hard","haptic","false","create_help_request","none","none","none","none","none","medical","unknown","haptic","medical_urgent","false","false","true","true","false"
"escort service needed please","text","false","create_help_request","none","none","none","none","none","escort","unknown","text","escort","true","false","false","true","false"
"unsafe entrance blocked by car","tap","false","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","false","false","true","true","false"
"mobility can t reach platform","voice","false","create_help_request","none","none","none","none","none","mobility","motor","voice","cannot_reach","false","false","true","true","false"
"orientation i am lost near souk","volume_shortcut","false","create_help_request","none","none","none","none","none","orientation","unknown","volume_shortcut","lost","true","true","false","true","false"
"need communication support now","text","false","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","false","true","false","true","false"
"medical urgent companion collapsed","caregiver","true","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","false","false","true","true","true"
"escort for another person svp","caregiver","true","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","true","false","true","true","true"
"unsafe acces fi parking basement","haptic","false","create_help_request","none","none","none","none","none","unsafe_access","unknown","haptic","blocked","false","true","false","true","false"
"signalement quick: rampe bloquee encore","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"help mobility now fi rue","text","false","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","false","false","true","true","false"
"orientation urgent i am loost","voice","false","create_help_request","none","none","none","none","none","orientation","unknown","voice","lost","true","true","false","true","false"
"communication aid for deaf bro","tap","false","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","false","true","false","true","false"
"medical urgent pour another person","caregiver","true","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","false","false","true","true","true"
